SID,MID,CHASE,WON,OVER,TOTRUNS,TOTWKTS,CSR,RUNS,BALLS,ORUNS,OBALLS,OBCSR,TGT,RRR,OUT,DELTASR,CRR,SERIES_NAME,OPPOSITION,FINISHED,START
61168,64924,1,0,1,4,0,0.0,0,5,1,1,100.0,271,5.448979591836735,0,0,4.0,England in South Africa ODI Series,England,0,1
61168,64924,1,0,2,8,0,0.0,0,6,4,6,66.66666666666666,271,5.479166666666667,0,0.0,4.0,England in South Africa ODI Series,England,0,0
61168,64924,1,0,3,13,0,0.0,0,8,9,10,90.0,271,5.48936170212766,0,0.0,4.333333333333333,England in South Africa ODI Series,England,0,0
61168,64924,1,0,4,18,0,30.76923076923077,4,13,10,11,90.9090909090909,271,5.5,0,80.0,4.5,England in South Africa ODI Series,England,0,0
61168,64924,1,0,5,24,0,26.666666666666668,4,15,15,15,100.0,271,5.488888888888889,0,0.0,4.8,England in South Africa ODI Series,England,0,0
61168,64924,1,0,6,25,0,26.666666666666668,4,15,15,21,71.42857142857143,271,5.590909090909091,0,5.488888888888889,4.166666666666667,England in South Africa ODI Series,England,0,0
61168,64924,1,0,7,28,0,31.57894736842105,6,19,16,23,69.56521739130434,271,5.651162790697675,0,50.0,4.0,England in South Africa ODI Series,England,0,0
61168,64924,1,0,8,31,0,35.0,7,20,18,28,64.28571428571429,271,5.714285714285714,0,100.0,3.875,England in South Africa ODI Series,England,0,0
61168,64924,1,0,9,32,0,32.0,8,25,18,29,62.06896551724138,271,5.829268292682927,0,20.0,3.5555555555555554,England in South Africa ODI Series,England,0,0
61168,64924,1,0,10,34,0,30.0,9,30,19,30,63.33333333333333,271,5.925,0,20.0,3.4,England in South Africa ODI Series,England,0,0
61168,64924,1,0,11,40,0,30.0,9,30,25,36,69.44444444444444,271,5.923076923076923,0,5.925,3.6363636363636362,England in South Africa ODI Series,England,0,0
61168,64924,1,0,12,47,1,45.714285714285715,16,35,25,36,NA,271,5.894736842105263,0,140.0,3.9166666666666665,England in South Africa ODI Series,England,0,0
61168,64924,1,0,13,47,2,52.63,20,38,25,36,NA,271,5.894736842105263,1,133.33333333333331,3.6153846153846154,England in South Africa ODI Series,England,1,0
61168,64925,1,1,1,4,0,50.0,2,4,2,2,100.0,268,5.387755102040816,0,0,4.0,England in South Africa ODI Series,England,0,1
61168,64925,1,1,2,4,0,20.0,2,10,2,2,100.0,268,5.5,0,0.0,2.0,England in South Africa ODI Series,England,0,0
61168,64925,1,1,3,7,0,20.0,2,10,5,8,62.5,268,5.553191489361702,0,5.5,2.3333333333333335,England in South Africa ODI Series,England,0,0
61168,64925,1,1,4,13,0,18.181818181818183,2,11,10,13,76.92307692307693,268,5.543478260869565,0,0.0,3.25,England in South Africa ODI Series,England,0,0
61168,64925,1,1,5,14,0,14.285714285714285,2,14,10,16,62.5,268,5.644444444444445,0,0.0,2.8,England in South Africa ODI Series,England,0,0
61168,64925,1,1,6,21,0,50.0,9,18,10,18,55.55555555555556,268,5.613636363636363,0,175.0,3.5,England in South Africa ODI Series,England,0,0
61168,64925,1,1,7,23,0,47.61904761904761,10,21,11,21,52.38095238095239,268,5.6976744186046515,0,33.33333333333333,3.2857142857142856,England in South Africa ODI Series,England,0,0
