SID,MID,CHASE,WON,OVER,TOTRUNS,TOTWKTS,CSR,RUNS,BALLS,ORUNS,OBALLS,OBCSR,TGT,RRR,OUT,DELTASR,CRR,SERIES_NAME,OPPOSITION,FINISHED,START
572998,573014,0,1,1,1,0,100.0,1,1,0,5,0.0,NA,NA,0,0,1.0,Sri Lanka in Australia ODI Series,Sri Lanka,0,1
572998,573014,0,1,2,3,0,40.0,2,5,1,7,14.285714285714285,NA,NA,0,25.0,1.5,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573014,0,1,3,6,0,37.5,3,8,3,10,30.0,NA,NA,0,33.33333333333333,2.0,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573014,0,1,4,15,0,37.5,3,8,11,16,68.75,NA,NA,0,NA,3.75,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573014,0,1,5,17,0,35.714285714285715,5,14,11,16,68.75,NA,NA,0,33.33333333333333,3.4,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573014,0,1,6,25,0,37.5,6,16,17,20,85.0,NA,NA,0,50.0,4.166666666666667,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573014,0,1,7,34,0,52.94117647058824,9,17,23,25,92.0,NA,NA,0,300.0,4.857142857142857,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573014,0,1,8,39,0,61.904761904761905,13,21,24,27,88.88888888888889,NA,NA,0,100.0,4.875,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573014,0,1,9,42,0,60.0,15,25,25,29,86.20689655172413,NA,NA,0,50.0,4.666666666666667,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573014,0,1,10,52,0,61.53846153846154,16,26,34,34,100.0,NA,NA,0,100.0,5.2,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573014,0,1,11,52,1,57.14,16,28,34,34,100.0,NA,NA,1,0.0,4.7272727272727275,Sri Lanka in Australia ODI Series,Sri Lanka,1,0
572998,573015,0,0,1,2,0,20.0,1,5,1,1,100.0,NA,NA,0,0,2.0,Sri Lanka in Australia ODI Series,Sri Lanka,0,1
572998,573015,0,0,2,4,0,25.0,2,8,2,4,50.0,NA,NA,0,33.33333333333333,2.0,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573015,0,0,3,6,0,28.57142857142857,4,14,2,4,50.0,NA,NA,0,33.33333333333333,2.0,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
572998,573015,0,0,4,6,1,26.66,4,15,2,4,50.0,NA,NA,1,0.0,1.5,Sri Lanka in Australia ODI Series,Sri Lanka,1,0
572999,573022,1,1,1,18,0,NA,0,0,18,6,300.0,71,1.0816326530612246,0,0,18.0,West Indies in Australia ODI Series,West Indies,0,1
