SID,MID,CHASE,WON,OVER,TOTRUNS,TOTWKTS,CSR,RUNS,BALLS,ORUNS,OBALLS,OBCSR,TGT,RRR,OUT,DELTASR,CRR,SERIES_NAME,OPPOSITION,FINISHED,START
61104,64761,1,0,1,4,0,66.66666666666666,4,6,0,0,NA,291,5.857142857142857,0,0,4.0,Australia in South Africa ODI Series,Australia,0,1
61104,64761,1,0,2,5,0,66.66666666666666,4,6,1,6,16.666666666666664,291,5.958333333333333,0,5.857142857142857,2.5,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,3,7,1,66.66666666666666,4,6,1,6,NA,291,6.042553191489362,0,5.958333333333333,2.3333333333333335,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,4,11,1,50.0,5,10,1,2,50.0,291,6.086956521739131,0,25.0,2.75,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,5,14,1,50.0,5,10,3,8,37.5,291,6.155555555555556,0,6.086956521739131,2.8,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,6,14,1,31.25,5,16,3,8,37.5,291,6.295454545454546,0,0.0,2.3333333333333335,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,7,16,2,35.294117647058826,6,17,1,2,50.0,291,6.395348837209302,0,100.0,2.2857142857142856,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,8,20,2,43.47826086956522,10,23,1,2,50.0,291,6.4523809523809526,0,66.66666666666666,2.5,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,9,21,2,40.0,10,25,2,6,33.33333333333333,291,6.585365853658536,0,0.0,2.3333333333333335,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,10,23,2,42.30769230769231,11,26,2,11,18.181818181818183,291,6.7,0,100.0,2.3,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,11,32,2,59.375,19,32,2,11,18.181818181818183,291,6.641025641025641,0,133.33333333333331,2.909090909090909,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,12,42,2,57.14285714285714,20,35,11,14,78.57142857142857,291,6.552631578947368,0,33.33333333333333,3.5,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,13,51,2,71.05263157894737,27,38,12,17,70.58823529411765,291,6.486486486486487,0,233.33333333333334,3.923076923076923,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,14,58,2,76.19047619047619,32,42,13,19,68.42105263157895,291,6.472222222222222,0,125.0,4.142857142857143,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,15,67,2,85.41666666666666,41,48,13,19,68.42105263157895,291,6.4,0,150.0,4.466666666666667,Australia in South Africa ODI Series,Australia,0,0
61104,64761,1,0,16,67,3,83.67,41,49,13,19,68.42105263157895,291,6.4,1,0.0,4.1875,Australia in South Africa ODI Series,Australia,1,0
61104,64762,0,0,1,2,0,20.0,1,5,1,1,100.0,NA,NA,0,0,2.0,Australia in South Africa ODI Series,Australia,0,1
61104,64762,0,0,2,3,0,20.0,1,5,1,7,14.285714285714285,NA,NA,0,NA,1.5,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,3,8,0,20.0,2,10,5,8,62.5,NA,NA,0,20.0,2.6666666666666665,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,4,11,0,20.0,3,15,6,9,66.66666666666666,NA,NA,0,20.0,2.75,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,5,17,0,20.0,3,15,12,15,80.0,NA,NA,0,NA,3.4,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,6,25,0,52.38095238095239,11,21,12,15,80.0,NA,NA,0,133.33333333333331,4.166666666666667,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,7,33,0,52.38095238095239,11,21,20,21,95.23809523809523,NA,NA,0,NA,4.714285714285714,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,8,33,0,40.74074074074074,11,27,20,21,95.23809523809523,NA,NA,0,0.0,4.125,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,9,36,0,43.333333333333336,13,30,21,24,87.5,NA,NA,0,66.66666666666666,4.0,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,10,40,1,43.333333333333336,13,30,0,3,0.0,NA,NA,0,NA,4.0,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,11,42,1,41.66666666666667,15,36,0,3,0.0,NA,NA,0,33.33333333333333,3.8181818181818183,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,12,46,1,43.58974358974359,17,39,2,6,33.33333333333333,NA,NA,0,66.66666666666666,3.8333333333333335,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,13,59,1,63.63636363636363,28,44,3,7,42.857142857142854,NA,NA,0,220.00000000000003,4.538461538461538,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,14,65,1,63.63636363636363,28,44,9,13,69.23076923076923,NA,NA,0,NA,4.642857142857143,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,15,69,1,64.58333333333334,31,48,10,15,66.66666666666666,NA,NA,0,75.0,4.6,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,16,81,1,64.58333333333334,31,48,22,21,104.76190476190477,NA,NA,0,NA,5.0625,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,17,82,2,65.3061224489796,32,49,0,4,0.0,NA,NA,0,100.0,4.823529411764706,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,18,85,2,63.63636363636363,35,55,0,4,0.0,NA,NA,0,50.0,4.722222222222222,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,19,86,2,63.1578947368421,36,57,0,8,0.0,NA,NA,0,50.0,4.526315789473684,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,20,90,2,63.49206349206349,40,63,0,8,0.0,NA,NA,0,66.66666666666666,4.5,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,21,91,2,61.53846153846154,40,65,1,12,8.333333333333332,NA,NA,0,0.0,4.333333333333333,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,22,93,2,61.19402985074627,41,67,2,16,12.5,NA,NA,0,50.0,4.2272727272727275,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,23,99,2,61.97183098591549,44,71,5,18,27.77777777777778,NA,NA,0,75.0,4.304347826086956,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,24,102,2,60.810810810810814,45,74,7,21,33.33333333333333,NA,NA,0,33.33333333333333,4.25,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,25,109,2,60.526315789473685,46,76,13,25,52.0,NA,NA,0,50.0,4.36,Australia in South Africa ODI Series,Australia,0,0
61104,64762,0,0,26,109,3,59.74,46,77,13,25,52.0,NA,NA,1,0.0,4.1923076923076925,Australia in South Africa ODI Series,Australia,1,0
61104,64763,0,0,1,0,0,0.0,0,6,0,0,NA,NA,NA,0,0,0.0,Australia in South Africa ODI Series,Australia,0,1
61104,64763,0,0,2,6,0,0.0,0,6,6,6,100.0,NA,NA,0,NA,3.0,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,3,10,0,33.33333333333333,4,12,6,6,100.0,NA,NA,0,66.66666666666666,3.3333333333333335,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,4,14,0,33.33333333333333,4,12,10,12,83.33333333333334,NA,NA,0,NA,3.5,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,5,17,0,40.0,6,15,10,15,66.66666666666666,NA,NA,0,66.66666666666666,3.4,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,6,21,0,38.095238095238095,8,21,10,15,66.66666666666666,NA,NA,0,33.33333333333333,3.5,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,7,33,0,40.909090909090914,9,22,21,20,105.0,NA,NA,0,100.0,4.714285714285714,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,8,43,0,67.85714285714286,19,28,21,20,105.0,NA,NA,0,166.66666666666669,5.375,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,9,45,0,66.66666666666666,20,30,22,24,91.66666666666666,NA,NA,0,50.0,5.0,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,10,51,0,73.52941176470588,25,34,23,26,88.46153846153845,NA,NA,0,125.0,5.1,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,11,51,0,73.52941176470588,25,34,23,32,71.875,NA,NA,0,NA,4.636363636363637,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,12,58,0,75.0,27,36,28,36,77.77777777777779,NA,NA,0,100.0,4.833333333333333,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,13,73,0,84.61538461538461,33,39,37,39,94.87179487179486,NA,NA,0,200.0,5.615384615384615,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,14,75,1,85.0,34,40,1,4,25.0,NA,NA,0,100.0,5.357142857142857,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,15,81,1,85.36585365853658,35,41,6,9,66.66666666666666,NA,NA,0,100.0,5.4,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,16,83,1,80.0,36,45,7,11,63.63636363636363,NA,NA,0,25.0,5.1875,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,17,88,1,80.0,40,50,8,12,66.66666666666666,NA,NA,0,80.0,5.176470588235294,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,18,94,1,80.0,40,50,14,18,77.77777777777779,NA,NA,0,NA,5.222222222222222,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,19,97,1,77.77777777777779,42,54,15,20,75.0,NA,NA,0,50.0,5.105263157894737,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,20,100,1,75.0,45,60,15,20,75.0,NA,NA,0,50.0,5.0,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,21,107,1,79.6875,51,64,16,22,72.72727272727273,NA,NA,0,150.0,5.095238095238095,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,22,112,1,80.0,56,70,16,22,72.72727272727273,NA,NA,0,83.33333333333334,5.090909090909091,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,23,116,1,78.37837837837837,58,74,18,24,75.0,NA,NA,0,50.0,5.043478260869565,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,24,124,1,78.94736842105263,60,76,24,28,85.71428571428571,NA,NA,0,100.0,5.166666666666667,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,25,132,1,79.22077922077922,61,77,31,33,93.93939393939394,NA,NA,0,100.0,5.28,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,26,137,1,79.74683544303798,63,79,34,37,91.8918918918919,NA,NA,0,100.0,5.269230769230769,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,27,141,1,80.24691358024691,65,81,36,41,87.8048780487805,NA,NA,0,100.0,5.222222222222222,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,28,151,1,79.76190476190477,67,84,44,44,100.0,NA,NA,0,66.66666666666666,5.392857142857143,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,29,155,1,76.13636363636364,67,88,46,46,100.0,NA,NA,0,0.0,5.344827586206897,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,30,158,2,76.40449438202246,68,89,1,3,33.33333333333333,NA,NA,0,100.0,5.266666666666667,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,31,166,2,76.92307692307693,70,91,7,7,100.0,NA,NA,0,100.0,5.354838709677419,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,32,172,2,77.41935483870968,72,93,11,11,100.0,NA,NA,0,100.0,5.375,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,33,176,2,76.28865979381443,74,97,13,13,100.0,NA,NA,0,50.0,5.333333333333333,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,34,184,2,79.20792079207921,80,101,15,15,100.0,NA,NA,0,150.0,5.411764705882353,Australia in South Africa ODI Series,Australia,0,0
61104,64763,0,0,35,184,3,81.55,84,103,15,15,100.0,NA,NA,1,200.0,5.257142857142857,Australia in South Africa ODI Series,Australia,1,0
61104,64764,0,1,1,5,0,50.0,1,2,3,4,75.0,NA,NA,0,0,5.0,Australia in South Africa ODI Series,Australia,0,1
61104,64764,0,1,2,9,0,62.5,5,8,3,4,75.0,NA,NA,0,66.66666666666666,4.5,Australia in South Africa ODI Series,Australia,0,0
61104,64764,0,1,3,11,0,62.5,5,8,5,10,50.0,NA,NA,0,NA,3.6666666666666665,Australia in South Africa ODI Series,Australia,0,0
61104,64764,0,1,4,18,0,72.72727272727273,8,11,7,13,53.84615384615385,NA,NA,0,100.0,4.5,Australia in South Africa ODI Series,Australia,0,0
