SID,MID,CHASE,WON,OVER,TOTRUNS,TOTWKTS,CSR,RUNS,BALLS,ORUNS,OBALLS,OBCSR,TGT,RRR,OUT,DELTASR,CRR,SERIES_NAME,OPPOSITION,FINISHED,START
61163,64914,0,1,42,180,6,0.0,0,1,0,0,0,NA,0,1,0,4.285714285714286,India in Bangladesh ODI Series,Bangladesh,1,1
61163,64916,1,0,34,131,5,0.0,0,4,33,38,86.8421052631579,230,6.1875,0,0,3.8529411764705883,India in Bangladesh ODI Series,Bangladesh,0,1
61163,64916,1,0,35,138,5,20.0,1,5,39,43,90.69767441860465,230,6.133333333333334,0,100.0,3.942857142857143,India in Bangladesh ODI Series,Bangladesh,0,0
61163,64916,1,0,36,145,5,85.71428571428571,6,7,41,47,87.2340425531915,230,6.071428571428571,0,250.0,4.027777777777778,India in Bangladesh ODI Series,Bangladesh,0,0
61163,64916,1,0,37,154,5,120.0,12,10,44,50,88.0,230,5.846153846153846,0,200.0,4.162162162162162,India in Bangladesh ODI Series,Bangladesh,0,0
61163,64916,1,0,38,154,6,109.09,12,11,44,50,88.0,230,5.846153846153846,1,0.0,4.052631578947368,India in Bangladesh ODI Series,Bangladesh,1,0
61163,64917,0,1,50,348,5,350.0,7,2,29,24,120.83333333333333,NA,NA,0,0,6.96,India in Bangladesh ODI Series,Bangladesh,0,1
61171,64938,0,1,46,258,5,40.0,2,5,101,135,74.81481481481481,NA,NA,0,0,5.608695652173913,Pakistan in India ODI Series,Pakistan,0,1
61171,64938,0,1,47,258,6,42.86,3,7,101,135,74.81481481481481,NA,NA,1,50.0,5.48936170212766,Pakistan in India ODI Series,Pakistan,1,0
61171,64939,0,1,4,36,1,NA,0,0,31,16,193.75,NA,NA,0,0,9.0,Pakistan in India ODI Series,Pakistan,0,1
61171,64939,0,1,5,47,1,140.0,7,5,35,17,205.88235294117646,NA,NA,0,140.0,9.4,Pakistan in India ODI Series,Pakistan,0,0
61171,64939,0,1,6,54,1,120.0,12,10,36,19,189.4736842105263,NA,NA,0,100.0,9.0,Pakistan in India ODI Series,Pakistan,0,0
61171,64939,0,1,7,66,1,135.71428571428572,19,14,41,21,195.23809523809524,NA,NA,0,175.0,9.428571428571429,Pakistan in India ODI Series,Pakistan,0,0
61171,64939,0,1,8,70,1,111.11111111111111,20,18,44,23,191.30434782608697,NA,NA,0,25.0,8.75,Pakistan in India ODI Series,Pakistan,0,0
61171,64939,0,1,9,82,1,130.43478260869566,30,23,45,24,187.5,NA,NA,0,200.0,9.11111111111111,Pakistan in India ODI Series,Pakistan,0,0
