SID,MID,CHASE,WON,OVER,TOTRUNS,TOTWKTS,CSR,RUNS,BALLS,ORUNS,OBALLS,OBCSR,TGT,RRR,OUT,DELTASR,CRR,SERIES_NAME,OPPOSITION,FINISHED,START
297768,293076,0,0,47,215,5,33.33333333333333,1,3,2,3,66.66666666666666,NA,NA,0,0,4.574468085106383,Future Cup,South Africa,0,1
297768,293076,0,0,48,233,5,50.0,2,4,19,8,237.5,NA,NA,0,100.0,4.854166666666667,Future Cup,South Africa,0,0
297768,293076,0,0,49,238,6,85.71428571428571,6,7,1,1,100.0,NA,NA,0,133.33333333333331,4.857142857142857,Future Cup,South Africa,0,0
297768,293076,0,0,50,238,7,88.89,8,9,1,1,100.0,NA,NA,1,100.0,4.76,Future Cup,South Africa,1,0
297425,297795,1,0,37,176,6,25.0,1,4,0,0,0,291,8.846153846153847,1,0,4.756756756756757,Australia in India ODI Series,Australia,1,1
297428,297805,1,0,11,62,3,100.0,4,4,10,10,100.0,307,6.282051282051282,0,0,5.636363636363637,Pakistan in India ODI Series,Pakistan,0,1
297428,297805,1,0,12,63,4,100.0,4,4,0,3,0.0,307,6.421052631578948,0,6.282051282051282,5.25,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,13,64,4,71.42857142857143,5,7,0,6,0.0,307,6.5675675675675675,0,33.33333333333333,4.923076923076923,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,14,66,4,50.0,6,12,0,7,0.0,307,6.694444444444445,0,20.0,4.714285714285714,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,15,71,4,61.111111111111114,11,18,0,7,0.0,307,6.742857142857143,0,83.33333333333334,4.733333333333333,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,16,73,4,52.17391304347826,12,23,0,8,0.0,307,6.882352941176471,0,20.0,4.5625,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,17,84,4,72.0,18,25,5,12,41.66666666666667,307,6.757575757575758,0,300.0,4.9411764705882355,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,18,87,4,66.66666666666666,20,30,6,13,46.15384615384615,307,6.875,0,40.0,4.833333333333333,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,19,89,4,67.74193548387096,21,31,7,18,38.88888888888889,307,7.032258064516129,0,100.0,4.684210526315789,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,20,93,4,66.66666666666666,24,36,8,19,42.10526315789473,307,7.133333333333334,0,60.0,4.65,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,21,96,4,67.56756756756756,25,37,10,24,41.66666666666667,307,7.275862068965517,0,100.0,4.571428571428571,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,22,100,4,65.85365853658537,27,41,12,26,46.15384615384615,307,7.392857142857143,0,50.0,4.545454545454546,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,23,105,4,68.18181818181817,30,44,14,29,48.275862068965516,307,7.481481481481482,0,100.0,4.565217391304348,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,24,111,4,68.08510638297872,32,47,17,31,54.83870967741935,307,7.538461538461538,0,66.66666666666666,4.625,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,25,118,4,72.54901960784314,37,51,19,33,57.57575757575758,307,7.56,0,125.0,4.72,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,26,128,4,81.81818181818183,45,55,21,35,60.0,307,7.458333333333333,0,200.0,4.923076923076923,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,27,136,4,86.4406779661017,51,59,23,37,62.16216216216216,307,7.434782608695652,0,150.0,5.037037037037037,Pakistan in India ODI Series,Pakistan,0,0
297428,297805,1,0,28,136,5,85.25,52,61,23,37,62.16216216216216,307,7.434782608695652,1,50.0,4.857142857142857,Pakistan in India ODI Series,Pakistan,1,0
291340,291362,1,1,26,97,4,100.0,1,1,1,9,11.11111111111111,160,2.625,0,0,3.730769230769231,Commonwealth Bank Series,Australia,0,1
291340,291362,1,1,27,99,4,33.33333333333333,2,6,2,10,20.0,160,2.652173913043478,0,20.0,3.6666666666666665,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,28,101,4,30.0,3,10,3,12,25.0,160,2.6818181818181817,0,25.0,3.607142857142857,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,29,102,5,36.36363636363637,4,11,0,3,0.0,160,2.761904761904762,0,100.0,3.5172413793103448,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,30,102,5,23.52941176470588,4,17,0,3,0.0,160,2.9,0,0.0,3.4,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,31,104,5,23.52941176470588,4,17,1,9,11.11111111111111,160,2.9473684210526314,0,2.9,3.3548387096774195,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,32,106,5,26.31578947368421,5,19,2,13,15.384615384615385,160,3.0,0,50.0,3.3125,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,33,109,5,29.166666666666668,7,24,3,14,21.428571428571427,160,3.0,0,40.0,3.303030303030303,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,34,112,5,33.33333333333333,9,27,4,17,23.52941176470588,160,3.0,0,66.66666666666666,3.2941176470588234,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,35,115,5,35.483870967741936,11,31,5,19,26.31578947368421,160,3.0,0,50.0,3.2857142857142856,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,36,117,5,34.285714285714285,12,35,6,21,28.57142857142857,160,3.0714285714285716,0,25.0,3.25,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,37,120,5,34.285714285714285,12,35,8,27,29.629629629629626,160,3.076923076923077,0,3.0714285714285716,3.2432432432432434,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,38,127,5,39.473684210526315,15,38,11,30,36.666666666666664,160,2.75,0,100.0,3.3421052631578947,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,39,130,5,45.0,18,40,11,34,32.35294117647059,160,2.727272727272727,0,150.0,3.3333333333333335,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,40,134,5,45.45454545454545,20,44,12,36,33.33333333333333,160,2.6,0,50.0,3.35,Commonwealth Bank Series,Australia,0,0
291340,291362,1,1,41,137,5,44.680851063829785,21,47,14,39,35.8974358974359,160,2.5555555555555554,0,33.33333333333333,3.341463414634146,Commonwealth Bank Series,Australia,0,0
