SID,MID,CHASE,WON,OVER,TOTRUNS,TOTWKTS,CSR,RUNS,BALLS,ORUNS,OBALLS,OBCSR,TGT,RRR,OUT,DELTASR,CRR,SERIES_NAME,OPPOSITION,FINISHED,START
426380,426388,0,0,30,118,5,0.0,0,5,15,33,45.45454545454545,NA,NA,0,0,3.933333333333333,NatWest Series [Australia in England],England,0,1
426380,426388,0,0,31,121,5,11.11111111111111,1,9,17,35,48.57142857142857,NA,NA,0,25.0,3.903225806451613,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,32,128,5,50.0,6,12,19,38,50.0,NA,NA,0,166.66666666666669,4.0,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,33,134,5,53.84615384615385,7,13,24,43,55.81395348837209,NA,NA,0,100.0,4.0606060606060606,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,34,141,5,53.333333333333336,8,15,30,47,63.829787234042556,NA,NA,0,50.0,4.147058823529412,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,35,148,5,52.63157894736842,10,19,35,49,71.42857142857143,NA,NA,0,50.0,4.228571428571429,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,36,155,5,69.56521739130434,16,23,36,51,70.58823529411765,NA,NA,0,150.0,4.305555555555555,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,37,156,5,62.96296296296296,17,27,36,53,67.9245283018868,NA,NA,0,25.0,4.216216216216216,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,38,160,5,63.33333333333333,19,30,38,56,67.85714285714286,NA,NA,0,66.66666666666666,4.2105263157894735,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,39,162,5,58.82352941176471,20,34,39,58,67.24137931034483,NA,NA,0,25.0,4.153846153846154,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,40,169,5,60.0,21,35,45,63,71.42857142857143,NA,NA,0,100.0,4.225,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,41,173,5,60.526315789473685,23,38,47,66,71.21212121212122,NA,NA,0,66.66666666666666,4.219512195121951,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,42,177,5,62.5,25,40,49,70,70.0,NA,NA,0,100.0,4.214285714285714,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,43,182,5,67.44186046511628,29,43,50,73,68.4931506849315,NA,NA,0,133.33333333333331,4.232558139534884,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,44,190,5,69.56521739130434,32,46,55,76,72.36842105263158,NA,NA,0,100.0,4.318181818181818,NatWest Series [Australia in England],England,0,0
426380,426388,0,0,45,190,6,77.35,41,53,55,76,72.36842105263158,NA,NA,1,128.57142857142858,4.222222222222222,NatWest Series [Australia in England],England,1,0
426380,426389,0,0,39,170,5,0.0,0,1,11,16,68.75,NA,NA,0,0,4.358974358974359,NatWest Series [Australia in England],England,0,1
426380,426389,0,0,40,182,5,66.66666666666666,2,3,21,20,105.0,NA,NA,0,100.0,4.55,NatWest Series [Australia in England],England,0,0
426380,426389,0,0,41,186,6,71.42857142857143,5,7,1,1,100.0,NA,NA,0,75.0,4.536585365853658,NatWest Series [Australia in England],England,0,0
426380,426389,0,0,42,190,6,77.77777777777779,7,9,3,5,60.0,NA,NA,0,100.0,4.523809523809524,NatWest Series [Australia in England],England,0,0
426380,426389,0,0,43,197,6,100.0,13,13,4,7,57.14285714285714,NA,NA,0,150.0,4.5813953488372094,NatWest Series [Australia in England],England,0,0
426380,426389,0,0,44,202,7,100.0,15,15,4,7,NA,NA,NA,0,100.0,4.590909090909091,NatWest Series [Australia in England],England,0,0
426380,426389,0,0,45,207,8,105.55555555555556,19,18,0,1,0.0,NA,NA,0,133.33333333333331,4.6,NatWest Series [Australia in England],England,0,0
426380,426389,0,0,46,207,9,95.23,20,21,0,1,0.0,NA,NA,1,33.33333333333333,4.5,NatWest Series [Australia in England],England,1,0
426380,426390,0,1,49,278,5,266.66666666666663,8,3,98,105,93.33333333333333,NA,NA,0,0,5.673469387755102,NatWest Series [Australia in England],England,0,1
426380,426390,0,1,50,290,5,225.0,18,8,99,106,93.39622641509435,NA,NA,0,200.0,5.8,NatWest Series [Australia in England],England,0,0
426380,426391,0,1,45,214,5,NA,0,0,43,46,93.47826086956522,NA,NA,0,0,4.7555555555555555,NatWest Series [Australia in England],England,0,1
426380,426391,0,1,46,224,5,133.33333333333331,4,3,49,49,100.0,NA,NA,0,133.33333333333331,4.869565217391305,NatWest Series [Australia in England],England,0,0
426380,426391,0,1,47,237,5,142.85714285714286,10,7,56,51,109.80392156862746,NA,NA,0,150.0,5.042553191489362,NatWest Series [Australia in England],England,0,0
426380,426391,0,1,48,248,5,130.0,13,10,64,54,118.5185185185185,NA,NA,0,100.0,5.166666666666667,NatWest Series [Australia in England],England,0,0
426380,426391,0,1,49,263,5,125.0,15,12,77,58,132.75862068965517,NA,NA,0,100.0,5.36734693877551,NatWest Series [Australia in England],England,0,0
426380,426391,0,1,50,263,6,115.38,15,13,77,58,132.75862068965517,NA,NA,1,0.0,5.26,NatWest Series [Australia in England],England,1,0
446948,446957,0,0,36,157,5,33.33333333333333,1,3,35,53,66.0377358490566,NA,NA,0,0,4.361111111111111,Sri Lanka in Australia ODI Series,Sri Lanka,0,1
446948,446957,0,0,37,160,5,40.0,2,5,37,57,64.91228070175438,NA,NA,0,50.0,4.324324324324325,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
446948,446957,0,0,38,163,5,50.0,3,6,39,62,62.903225806451616,NA,NA,0,100.0,4.2894736842105265,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
446948,446957,0,0,39,171,5,77.77777777777779,7,9,43,65,66.15384615384615,NA,NA,0,133.33333333333331,4.384615384615385,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
446948,446957,0,0,40,177,5,85.71428571428571,12,14,44,66,66.66666666666666,NA,NA,0,100.0,4.425,Sri Lanka in Australia ODI Series,Sri Lanka,0,0
446948,446957,0,0,41,177,6,80,12,15,44,66,66.66666666666666,NA,NA,1,0.0,4.317073170731708,Sri Lanka in Australia ODI Series,Sri Lanka,1,0
446948,446958,1,0,23,114,5,50.0,1,2,17,24,70.83333333333334,245,8.1875,0,0,4.956521739130435,Sri Lanka in Australia ODI Series,Sri Lanka,0,1
