SID,MID,CHASE,WON,OVER,TOTRUNS,TOTWKTS,CSR,RUNS,BALLS,ORUNS,OBALLS,OBCSR,TGT,RRR,OUT,DELTASR,CRR,SERIES_NAME,OPPOSITION,FINISHED,START
343727,343732,0,0,1,1,1,NA,0,0,1,4,25.0,NA,NA,0,0,1.0,India in Sri Lanka ODI Series,Sri Lanka,0,1
343727,343732,0,0,2,2,1,NA,0,0,1,10,10.0,NA,NA,0,NA,1.0,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343732,0,0,3,3,1,33.33333333333333,1,3,1,13,7.6923076923076925,NA,NA,0,33.33333333333333,1.0,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343732,0,0,4,6,1,60.0,3,5,2,17,11.76470588235294,NA,NA,0,100.0,1.5,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343732,0,0,5,9,1,54.54545454545454,6,11,2,17,11.76470588235294,NA,NA,0,50.0,1.8,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343732,0,0,6,11,1,47.05882352941176,8,17,2,17,11.76470588235294,NA,NA,0,33.33333333333333,1.8333333333333333,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343732,0,0,7,18,1,57.14285714285714,12,21,5,19,26.31578947368421,NA,NA,0,100.0,2.5714285714285716,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343732,0,0,8,18,2,54.55,12,22,5,19,26.31578947368421,NA,NA,1,0.0,2.25,India in Sri Lanka ODI Series,Sri Lanka,1,0
343727,343733,1,1,1,2,0,50.0,1,2,1,4,25.0,143,2.877551020408163,0,0,2.0,India in Sri Lanka ODI Series,Sri Lanka,0,1
343727,343733,1,1,2,4,0,12.5,1,8,1,4,25.0,143,2.8958333333333335,0,0.0,2.0,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,3,8,1,12.5,1,8,0,2,0.0,143,2.872340425531915,0,2.8958333333333335,2.6666666666666665,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,4,15,1,53.84615384615385,7,13,1,3,33.33333333333333,143,2.782608695652174,0,120.0,3.75,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,5,17,2,43.75,7,16,1,2,50.0,143,2.8,0,0.0,3.4,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,6,18,2,43.75,7,16,2,8,25.0,143,2.840909090909091,0,2.8,3.0,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,7,21,2,42.857142857142854,9,21,3,9,33.33333333333333,143,2.8372093023255816,0,40.0,3.0,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,8,21,2,42.857142857142854,9,21,3,15,20.0,143,2.9047619047619047,0,2.8372093023255816,2.625,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,9,21,2,33.33333333333333,9,27,3,15,20.0,143,2.975609756097561,0,0.0,2.3333333333333335,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,10,29,2,33.33333333333333,9,27,11,21,52.38095238095239,143,2.85,0,2.975609756097561,2.9,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,11,37,2,51.515151515151516,17,33,11,21,52.38095238095239,143,2.717948717948718,0,133.33333333333331,3.3636363636363638,India in Sri Lanka ODI Series,Sri Lanka,0,0
343727,343733,1,1,12,41,2,51.515151515151516,17,33,15,27,55.55555555555556,143,2.6842105263157894,0,2.717948717948718,3.4166666666666665,India in Sri Lanka ODI Series,Sri Lanka,0,0
